algorithm,seed,environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,agent4/mean_episode_returns,agent4/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
idqn,0,750507,11.680221,3.9894001,11.680221,3.9894001,11.680221,3.9894001,11.680221,3.9894001,11.680221,3.9894001,0.05,27.370433807373047,6.72,0.14,62.69,58.401108,0.1921392020926578,3.7843888,0.3469870314579494,36.424358607942565,19.947,0.0911145868008894,13360
idqn,0,800551,15.170515,3.7619784,15.170515,3.7619784,15.170515,3.7619784,15.170515,3.7619784,15.170515,3.7619784,0.05,38.02438354492188,7.86,0.33,68.78,75.852585,0.2191400553507264,4.147336,0.4702127178203498,27.102243449574427,18.809893,0.077010765577644,14123
idqn,0,850588,15.79902,3.947462,15.79902,3.947462,15.79902,3.947462,15.79902,3.947462,15.79902,3.947462,0.05,35.5526008605957,8.77,0.4,60.4,78.995094,0.1716970316675724,4.7536407,0.4898979485566356,29.335984728657053,19.737312,0.0659094099168895,15004
idqn,0,900679,11.393725,2.9893706,11.393725,2.9893706,11.393725,2.9893706,11.393725,2.9893706,11.393725,2.9893706,0.05,38.10456848144531,5.83,0.07,51.67,56.968624,0.1729766188090434,2.9122329,0.2551470164434614,24.97280721104457,14.946853,0.0694419310477283,15821
idqn,0,950688,18.210564,3.4053628,18.210564,3.4053628,18.210564,3.4053628,18.210564,3.4053628,18.210564,3.4053628,0.05,35.61973571777344,14.27,0.77,51.12,91.052826,0.1587717400101246,5.818686,0.4208325082500163,24.823488876465365,17.026817,0.0583649137236603,16642
idqn,0,1000697,18.0626,3.5618587,18.0626,3.5618587,18.0626,3.5618587,18.0626,3.5618587,18.0626,3.5618587,0.05,35.58641815185547,11.68,0.76,48.25,90.312996,0.1459210216265637,4.666648,0.4270831300812525,13.53689403075905,17.809292,0.0315083694262223,17597
idqn,0,1050729,16.688726,4.149223,16.688726,4.149223,16.688726,4.149223,16.688726,4.149223,16.688726,4.149223,0.05,28.242328643798828,9.93,0.58,50.98,83.443634,0.1703356074617477,4.3594837,0.4935585071701227,18.75472207205428,20.746115,0.0549506407573232,18516
idqn,0,1100753,13.027304,3.5992534,13.027304,3.5992534,13.027304,3.5992534,13.027304,3.5992534,13.027304,3.5992534,0.05,38.51570510864258,6.6,0.18,46.35,65.13652,0.1466089274879777,3.5327044,0.3841874542459709,12.528667127831277,17.996267,0.0338171402683284,19459
idqn,0,1150773,17.512646,3.8267813,17.512646,3.8267813,17.512646,3.8267813,17.512646,3.8267813,17.512646,3.8267813,0.05,29.61068725585937,10.56,0.68,51.42,87.563225,0.1622359853319358,4.4862456,0.466476151587624,13.742765369458944,19.133905,0.0351202291444611,20410
idqn,0,1200783,18.12375,3.1953716,18.12375,3.1953716,18.12375,3.1953716,18.12375,3.1953716,18.12375,3.1953716,0.05,20.33944129943848,11.88,0.72,49.33,90.61875,0.1513633392215706,5.3390636,0.4489988864128729,10.875711470979727,15.976859,0.0284624226670268,21291
idqn,0,1250816,15.332941,3.6457424,15.332941,3.6457424,15.332941,3.6457424,15.332941,3.6457424,15.332941,3.6457424,0.05,26.36406135559082,8.33,0.36,58.33,76.6647,0.1835595025320071,4.837468,0.48,22.795637740585367,18.228712,0.0601767602738192,22192
idqn,0,1300831,17.553408,3.7487843,17.553408,3.7487843,17.553408,3.7487843,17.553408,3.7487843,17.553408,3.7487843,0.05,22.919898986816406,9.95,0.65,54.99,87.767044,0.1717063379409955,4.706113,0.4769696007084728,12.473568054089414,18.743923,0.0324744712632235,23081
idqn,0,1350889,14.979509,4.3297167,14.979509,4.3297167,14.979509,4.3297167,14.979509,4.3297167,14.979509,4.3297167,0.05,24.26081085205078,11.18,0.4,98.96,74.89755,0.2859778484003618,4.2973943,0.4898979485566356,46.041702835581575,21.648584,0.1239397381124129,23925
idqn,0,1400906,16.498407,3.8801231,16.498407,3.8801231,16.498407,3.8801231,16.498407,3.8801231,16.498407,3.8801231,0.05,20.74470329284668,9.32,0.51,52.79,82.49204,0.1611119512992445,4.372368,0.4998999899979994,24.84926357057689,19.400616,0.0689052809006792,24814
idqn,0,1450957,18.190048,3.318022,18.190048,3.318022,18.190048,3.318022,18.190048,3.318022,18.190048,3.318022,0.05,19.5290641784668,11.26,0.75,56.01,90.95023,0.17226929248136,4.20861,0.4330127018922193,22.422085094834515,16.59011,0.0601769893155012,25701
idqn,0,1500986,19.0225,2.4095552,19.0225,2.4095552,19.0225,2.4095552,19.0225,2.4095552,19.0225,2.4095552,0.05,19.19285011291504,12.35,0.84,51.9,95.1125,0.1629864233778789,4.4841385,0.3666060555964672,12.917043005270209,12.047776,0.0379603790107975,26571
idqn,0,1551015,14.272379,4.626872,14.272379,4.626872,14.272379,4.626872,14.272379,4.626872,14.272379,4.626872,0.05,17.593706130981445,7.82,0.33,58.9,71.36189,0.1968700303923105,4.409943,0.4702127178203498,16.51211676315305,23.134357,0.0460309255452899,27447
idqn,0,1601038,17.176226,3.4916859,17.176226,3.4916859,17.176226,3.4916859,17.176226,3.4916859,17.176226,3.4916859,0.05,17.094369888305664,10.37,0.56,60.5,85.88113,0.1932717234187294,5.6615458,0.4963869458396343,21.020704079549763,17.45843,0.0557737670139087,28338
idqn,0,1651040,19.15532,2.1336534,19.15532,2.1336534,19.15532,2.1336534,19.15532,2.1336534,19.15532,2.1336534,0.05,15.26168155670166,12.47,0.85,49.9,95.7766,0.1503479195549152,4.782165,0.3570714214271425,13.668577102244404,10.668267,0.0329339366465568,29233
idqn,0,1701080,15.854291,4.085292,15.854291,4.085292,15.854291,4.085292,15.854291,4.085292,15.854291,4.085292,0.05,21.36385726928711,9.32,0.45,58.22,79.27145,0.1820612433680798,5.4751797,0.49749371855331,11.568560843942516,20.426458,0.0302844321607338,30130
idqn,0,1751119,16.76934,3.657347,16.76934,3.657347,16.76934,3.657347,16.76934,3.657347,16.76934,3.657347,0.05,11.41873836517334,9.78,0.49,55.67,83.8467,0.1809990737534826,5.773352,0.4998999899979994,18.245577546353527,18.286736,0.0522721675045873,31029
idqn,0,1801156,18.897425,2.6385381,18.897425,2.6385381,18.897425,2.6385381,18.897425,2.6385381,18.897425,2.6385381,0.05,16.51653480529785,12.9,0.83,58.55,94.48713,0.1934703908767551,5.0049973,0.375632799419859,15.574578645985902,13.192691,0.0430143354393332,31956
idqn,0,1851163,18.666641,2.8220963,18.666641,2.8220963,18.666641,2.8220963,18.666641,2.8220963,18.666641,2.8220963,0.05,15.46181297302246,13.68,0.8,49.73,93.33321,0.1649388733634259,5.456886,0.4,11.94307749284078,14.11048,0.0334370879789918,32880
idqn,0,1901178,19.029852,2.332883,19.029852,2.332883,19.029852,2.332883,19.029852,2.332883,19.029852,2.332883,0.05,16.339223861694336,11.28,0.84,51.14,95.14927,0.1568620559101691,4.6735,0.3666060555964672,8.316273203785455,11.664415,0.0241166626496396,33810
idqn,0,1951195,18.29135,3.3420196,18.29135,3.3420196,18.29135,3.3420196,18.29135,3.3420196,18.29135,3.3420196,0.05,11.603470802307127,12.79,0.75,56.0,91.45675,0.1742844054283341,5.048356,0.4330127018922193,25.1240920233946,16.710098,0.0627436982698952,34743
idqn,1,50002,13.818234,4.247512,13.818234,4.247512,13.818234,4.247512,13.818234,4.247512,13.818234,4.247512,0.7624905,15.517145156860352,6.24,0.29,45.94,69.09118,0.1258118149911752,2.0155394,0.4537620521815371,11.840456072297211,21.237558,0.0248468062665458,1200
idqn,1,100031,11.27059,1.304551,11.27059,1.304551,11.27059,1.304551,11.27059,1.304551,11.27059,1.304551,0.52485275,21.0169677734375,5.19,0.01,42.54,56.35295,0.1393349758180556,1.5980927,0.0994987437106619,19.17676719366432,6.522755,0.0462672480560366,2553
idqn,1,150089,10.516962,1.3060161,10.516962,1.3060161,10.516962,1.3060161,10.516962,1.3060161,10.516962,1.3060161,0.2870772499999999,24.730823516845703,5.97,0.0,69.42,52.584805,0.2119511300261365,2.368354,0.0,46.993016502454914,6.530081,0.1280982706483307,3685
idqn,1,200115,10.002255,1.8622296,10.002255,1.8622296,10.002255,1.8622296,10.002255,1.8622296,10.002255,1.8622296,0.05,22.606788635253903,5.4,0.01,49.74,50.011284,0.1542027700343169,1.5748017,0.0994987437106619,29.67444018006068,9.311148,0.0784167221825584,4500
idqn,1,250125,12.56098,2.9641602,12.56098,2.9641602,12.56098,2.9641602,12.56098,2.9641602,12.56098,2.9641602,0.05,20.37873649597168,5.63,0.11,45.5,62.8049,0.1360494307882618,1.9832045,0.3128897569432403,8.593602271457529,14.820802,0.0198362851674783,5392
idqn,1,300135,17.463358,3.8567624,17.463358,3.8567624,17.463358,3.8567624,17.463358,3.8567624,17.463358,3.8567624,0.05,21.747329711914062,11.92,0.68,65.86,87.316795,0.2015180895739468,5.3919945,0.466476151587624,29.5272822995954,19.283812,0.0756565911804936,6183
idqn,1,350185,14.746203,3.8534036,14.746203,3.8534036,14.746203,3.8534036,14.746203,3.8534036,14.746203,3.8534036,0.05,20.526531219482425,8.3,0.32,71.11,73.73101,0.2167583196080522,4.6829476,0.4664761515876239,28.46994731291226,19.267017,0.0714599245709673,6940
idqn,1,400215,18.615393,2.9535997,18.615393,2.9535997,18.615393,2.9535997,18.615393,2.9535997,18.615393,2.9535997,0.05,18.05987548828125,14.53,0.8,54.19,93.076965,0.1639870121027343,5.3971376,0.4,29.306891680968143,14.767999,0.070860792206493,7754
idqn,1,450237,18.832575,3.0433135,18.832575,3.0433135,18.832575,3.0433135,18.832575,3.0433135,18.832575,3.0433135,0.05,16.472517013549805,16.52,0.86,55.97,94.16287,0.1776476615935098,6.3568544,0.3469870314579494,20.58128032946444,15.216567,0.0497657160703422,8598
