algorithm,seed,environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
idqn,0,2500859,15.573225,4.835229,15.573225,4.835229,0.05,4.7576212882995605,4.11,0.51,36.06,31.14645,0.0703205666621215,1.9894472,0.4998999899979994,19.95235324466765,9.670458,0.0419776604418347,48631
idqn,0,2600974,15.663839,4.957207,15.663839,4.957207,0.05,4.56560754776001,4.33,0.53,39.04,31.327679,0.0778377719799755,2.0835307,0.4990991885387111,28.859979209971726,9.914414,0.0613526980704269,51290
idqn,0,2701003,16.361382,4.721687,16.361382,4.721687,0.05,5.135425090789795,4.58,0.59,38.19,32.722763,0.0762629292585188,1.8983148,0.4918333050943174,28.262588345726577,9.443374,0.0606202014865539,53939
idqn,0,2801052,15.651232,4.395002,15.651232,4.395002,0.05,4.441089630126953,3.92,0.48,33.17,31.302464,0.0660405124921817,1.9983994,0.4995998398718718,13.038446993411448,8.790004,0.0271118979358866,56675
idqn,0,2901174,15.425145,4.7033176,15.425145,4.7033176,0.05,3.5715491771698,3.92,0.48,33.37,30.85029,0.0639051171205937,1.9983994,0.4995998398718718,13.477874461501708,9.406635,0.0272076691276129,59584
idqn,0,3001193,15.582294,4.46466,15.582294,4.46466,0.05,4.131043434143066,3.92,0.48,31.28,31.164589,0.059808441287605,1.9983994,0.4995998398718718,1.0007996802557444,8.92932,0.0034513424570955,62733
idqn,0,3101219,15.646018,4.5279374,15.646018,4.5279374,0.05,2.8906641006469727,3.96,0.49,31.22,31.292036,0.0598580633103847,1.9995998,0.4998999899979995,0.9856977224281286,9.055875,0.003425330394846,65912
idqn,0,3201240,15.697346,4.5534897,15.697346,4.5534897,0.05,2.7868428230285645,4.0,0.5,31.14,31.394691,0.0594338291190797,2.0,0.5,0.9275774900244184,9.106979,0.0048821328352821,69107
idqn,0,3301246,15.494573,4.5837417,15.494573,4.5837417,0.05,2.854322671890259,3.92,0.48,31.34,30.989145,0.0605279233044711,1.9983994,0.4995998398718718,0.8742997197757757,9.167483,0.0031406587960923,72301
idqn,0,3401251,16.658478,4.495147,16.658478,4.495147,0.05,2.7497758865356445,4.44,0.61,31.0,33.316956,0.0577401716675376,1.951,0.4877499359302879,0.938083151964686,8.990294,0.0050115811557731,75502
idqn,0,3501274,16.723206,4.384086,16.723206,4.384086,0.05,3.759634256362915,4.44,0.61,31.48,33.44641,0.0590152850322192,1.9509999,0.4877499359302879,0.574108003776293,8.768172,0.0049566126691609,78694
idqn,0,3601274,16.602873,4.5610785,16.602873,4.5610785,0.05,2.591723918914795,4.44,0.61,31.43,33.205746,0.0582353658485226,1.951,0.4877499359302879,0.6519969325081215,9.122157,0.0038560519103435,81884
idqn,0,3701289,16.96555,4.5723104,16.96555,4.5723104,0.05,2.501603364944458,4.64,0.66,30.9,33.9311,0.0580494841228937,1.8948352,0.4737087712930805,0.9433981132056604,9.144621,0.0032261864079873,85071
