algorithm,seed,environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates
idqn,1,2000458,0.28785712,0.24085937,0.3703572,0.3072489,0.05,2.1803340911865234,31.15,0.65821433,0.006810852093622,17.692583191834935,0.43500105,0.0041056473711042,46702
idqn,1,2100486,0.2884127,0.27349943,0.3135119,0.29779384,0.05,2.24817967414856,33.4,0.6019246,0.0073039937502471,18.561788706910768,0.3854554,0.0036261266463271,49813
idqn,1,2200490,0.3767262,0.3059668,0.37166667,0.3085271,0.05,2.0025885105133057,29.2,0.7483929,0.0060915062553249,17.194766645697754,0.38270065,0.0036211119884241,53111
idqn,1,2300514,0.412381,0.24909465,0.4197619,0.24430989,0.05,2.0660557746887207,21.55,0.83214283,0.0049037230550311,15.784406862470314,0.34793487,0.0032169345146076,56544
idqn,1,2400523,0.3912103,0.23056328,0.43557543,0.24834085,0.05,2.5851876735687256,22.95,0.82678574,0.0056815979944076,15.519262224732206,0.35161343,0.0043333173255469,59937
idqn,1,2500525,0.41317463,0.26478258,0.3718254,0.22122829,0.05,2.2127552032470703,25.05,0.785,0.0054641875089146,18.71490048063307,0.3636963,0.0046715447807384,63447
idqn,1,2600560,0.24500003,0.25506535,0.2977778,0.25117168,0.05,2.730142831802368,33.1,0.5427778,0.0084443583589745,19.149151417229955,0.43513852,0.0049570169840303,67133
idqn,1,2700580,0.432242,0.25927293,0.3717262,0.21834576,0.05,2.5924620628356934,25.85,0.80396825,0.0062873561982996,16.46594971448656,0.35568577,0.0036639175110731,70837
idqn,1,2800591,0.39232144,0.28897074,0.36857143,0.27130058,0.05,2.1273796558380127,26.75,0.76089287,0.0063368124508997,18.182065339229204,0.38303882,0.0043699362070783,74628
idqn,1,2900619,0.3615774,0.26027915,0.40717262,0.26102278,0.05,2.134455919265747,25.15,0.76875,0.0069162644416792,16.734022230175267,0.37971002,0.0048066210640317,78422
idqn,1,3000636,0.40500003,0.25019935,0.33607143,0.2326524,0.05,2.455028772354126,24.4,0.7410714,0.0062796229001833,17.43387507125137,0.4126314,0.0045334757699673,82205
idqn,1,3100638,0.3014881,0.27633333,0.32976192,0.2999315,0.05,2.273977518081665,30.15,0.63125,0.0086315290973288,18.38824352677547,0.43872917,0.0056907715897199,86064
idqn,1,3200650,0.3984127,0.24804413,0.42936507,0.26794562,0.05,2.208437204360962,21.1,0.82777774,0.0052502708509564,14.972975656161337,0.3608546,0.0038784791927464,90154
idqn,1,3300692,0.34750003,0.275521,0.3775,0.27283624,0.05,2.3944168090820312,28.65,0.725,0.0085297353914938,17.088812129577644,0.41256312,0.005726292137703,94277
idqn,1,3400699,0.39682537,0.29032177,0.31595236,0.22866261,0.05,2.105765581130981,28.6,0.71277773,0.0071929103432921,17.3216627377397,0.41458407,0.0053841918344835,98490
idqn,1,3500731,0.33217263,0.2591026,0.38417658,0.30389842,0.05,2.0626001358032227,27.05,0.7163492,0.006154552148655,17.77209891937359,0.4130405,0.0042449313748105,102779
idqn,1,3600765,0.41647822,0.312926,0.35852182,0.26904,0.05,2.137540340423584,24.05,0.775,0.0064247396512655,15.509593805125906,0.40233696,0.0041349423812341,107066
idqn,1,3700807,0.44083333,0.31995988,0.31416667,0.2595014,0.05,1.930752158164978,25.3,0.755,0.004750043695094,18.240339909113537,0.3927149,0.0033940755841481,111362
idqn,1,3800818,0.39000002,0.28769514,0.44857144,0.31059375,0.05,1.8206701278686523,22.3,0.8385714,0.0045615853450726,15.691080268738668,0.3393,0.0031993393572252,115772
idqn,1,3900841,0.4316369,0.27188686,0.38780755,0.28564882,0.05,1.867569923400879,24.35,0.8194445,0.0051247063005575,16.088116732545174,0.3638253,0.0033605674649806,120138
