environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates
100088,0.062246032,0.12350655,0.042309523,0.099792786,0.8098328,3.8048346042633057,50.0,0.10455557,0.0499508525500027,0.0,0.14958078,0.0009034548293347,1973
125137,0.061952382,0.11444518,0.083932534,0.1279142,0.7622397,4.056449890136719,50.0,0.14588492,0.0490790908600001,0.0,0.17967,0.0012675607589126,2481
150141,0.059055556,0.13731444,0.03815079,0.096673794,0.7147321000000001,2.7821640968322754,49.88,0.097206354,0.0499389904899942,1.1939849245279437,0.18071696,0.002325235756879,2989
175158,0.06785714,0.1256121,0.067817464,0.13013384,0.6671997999999999,2.142261505126953,50.0,0.13567461,0.0507746979299986,0.0,0.18165435,0.0014890828419661,3500
200181,0.06934993,0.12822163,0.067568175,0.12914993,0.6196561,2.897445678710937,49.61,0.13691811,0.0500095089100034,2.982934796471421,0.19837943,0.0033949087064019,4014
225184,0.046428572,0.0993164,0.061230164,0.1080858,0.5721504000000001,3.6425163745880127,50.0,0.10765873,0.049573224689999,0.0,0.13562946,0.0009231995117216,4527
250212,0.07404762,0.14870197,0.08121429,0.13507405,0.5245972,2.9898571968078613,49.83,0.1552619,0.0494270169100002,1.4216539663363936,0.21779665,0.0021211129393486,5041
275215,0.05253571,0.11095617,0.07369048,0.1358373,0.4770915,3.092534303665161,50.0,0.1262262,0.0490265340600035,0.0,0.19330676,0.0016185974100061,5558
300229,0.08673412,0.14633738,0.073496036,0.13810775,0.4295648999999999,2.620136022567749,49.92,0.16023016,0.049694897650005,0.7959899496852959,0.22428258,0.001805073689369,6075
325268,0.093206346,0.17487738,0.058261905,0.12463801,0.3819907999999999,2.907113075256348,49.65,0.15146825,0.0489527062099932,3.4824560298731697,0.23669101,0.0037193591238664,6591
350284,0.07383334,0.12286706,0.053238098,0.12703593,0.3344604,2.710646867752075,49.81,0.12707143,0.0501480027899992,1.8904761305025777,0.18003729,0.0027274448428627,7108
375317,0.07660714,0.13220787,0.10007143,0.16293526,0.2868977,2.566094160079956,49.91,0.1766786,0.0503331443199988,0.8954886933959578,0.22543785,0.0012581306268408,7628
400361,0.058178578,0.10954926,0.09800397,0.14582391,0.2393140999999999,2.8532190322875977,49.86,0.15618256,0.0493170089199963,1.3929824119492678,0.20823255,0.0025232297805713,8149
425374,0.06762698,0.12975541,0.10138095,0.17374401,0.1917894,2.232377767562866,49.72,0.16900796,0.0496503533199995,2.7859648238985355,0.22588283,0.0028612969171555,8667
450398,0.093170635,0.15057209,0.052380953,0.12589678,0.1442437999999999,2.3972420692443848,48.85,0.14555159,0.0473915027500027,6.545800180268262,0.22288539,0.0064169219297194,9182
475433,0.0720496,0.13097163,0.08601389,0.15047494,0.0966773,3.297091007232666,49.52,0.15806349,0.0498736644399991,3.7642529139259486,0.23041049,0.0040352739363145,9700
500461,0.07047619,0.15071261,0.070928566,0.15129499,0.05,1.866154432296753,49.73,0.14140476,0.0492946457299808,2.403559859874516,0.21768025,0.0024860987209657,10210
525501,0.056353178,0.12310408,0.06284127,0.14286235,0.05,4.277914047241211,49.65,0.11919445,0.0505237714600002,3.4824560298731693,0.18799582,0.0038224882413366,10717
550518,0.12727183,0.19591294,0.10312898,0.18716766,0.05,3.109738111495972,48.55,0.23040079,0.0484724176299869,6.331469023852205,0.29527786,0.0064241991102291,11223
575521,0.09673809,0.18829155,0.08352382,0.17194183,0.05,3.0117950439453125,47.86,0.1802619,0.0479170919899706,8.02,0.29564643,0.0081282711506991,11730
600534,0.082261905,0.16197212,0.09067858,0.16347966,0.05,2.4049806594848637,48.97,0.17294048,0.0495261454899855,5.800784429712933,0.25610802,0.0060910501136407,12243
625541,0.075944446,0.1645046,0.085841276,0.14988577,0.05,3.2930681705474854,48.62,0.16178572,0.0486326793899957,6.563200438810322,0.272081,0.0067350868463673,12751
650564,0.082373016,0.14300506,0.07844841,0.1455325,0.05,2.3601741790771484,49.15,0.16082144,0.0495142354899917,4.78826690985371,0.24916473,0.0048952362405817,13264
675609,0.099103175,0.17006367,0.0591627,0.11722326,0.05,3.2433671951293945,49.56,0.15826589,0.0492690497699936,4.377944723269128,0.22942923,0.0048098917619179,13777
700630,0.092003964,0.20128489,0.1126508,0.18191443,0.05,3.607730627059937,48.17,0.20465477,0.0472619602000054,7.830779016164355,0.2934293,0.0078976560628486,14294
725675,0.09164286,0.17198429,0.11284525,0.21519023,0.05,2.529498815536499,47.34,0.2044881,0.0466084349700099,8.965734771896834,0.3032001,0.009020130003146,14808
750680,0.08205809,0.16168949,0.09288745,0.18212262,0.05,2.5659332275390625,48.77,0.17494553,0.0493538173300044,5.311977033082881,0.2615461,0.005555556426421,15326
775704,0.07512374,0.15228951,0.067072146,0.14292668,0.05,2.2435598373413086,49.64,0.1421959,0.0503830662500035,2.9411562352245078,0.23528628,0.0030640125565552,15845
800744,0.12000793,0.21732222,0.12061906,0.17765553,0.05,2.674037456512451,48.33,0.24062699,0.0460291946000006,6.830893060208158,0.31639102,0.0065340891149832,16360
825745,0.08626587,0.17043772,0.11299604,0.21311505,0.05,1.530981421470642,47.59,0.19926189,0.0490022624599851,9.267248782675471,0.2919878,0.0097587707887764,16883
850772,0.09118254,0.16295262,0.15947221,0.23032482,0.05,2.1482415199279785,47.4,0.2506548,0.0475112821700054,8.850988645343527,0.32160935,0.0089405193112758,17398
875792,0.09266667,0.16818145,0.09607144,0.15810506,0.05,2.948894500732422,47.67,0.1887381,0.0473629055499964,9.288762027310208,0.26802436,0.009279783412623,17923
900792,0.095155485,0.17434315,0.11506024,0.18043496,0.05,1.60093355178833,48.18,0.21021576,0.048584179430004,7.777377450014883,0.26698515,0.0079510799733348,18449
925829,0.14994842,0.25127125,0.099968255,0.17740153,0.05,2.3801229000091557,47.34,0.24991667,0.0474581912799885,8.163602146111728,0.3359453,0.008198714876449,18973
950829,0.07584525,0.1406297,0.09167461,0.16024809,0.05,2.3530619144439697,48.57,0.16751985,0.0485500204400023,6.607957324317402,0.24530023,0.0067469918663232,19503
975860,0.10115873,0.1685479,0.14869049,0.23323515,0.05,3.179313898086548,46.03,0.2498492,0.0453829076600095,11.197727448013726,0.33786094,0.0111084679582521,20028
